	width	WT_1	WT_2	WT_3	WT_4	TG_1	TG_2	TG_3	TG_4
ENSMUSG00000006050	4684	721	847	879	947	1091	1437	975	1072
ENSMUSG00000006056	1621	0	0	0	0	0	0	0	0
ENSMUSG00000006057	4912	504	654	656	711	280	297	230	218
ENSMUSG00000006058	2677	673	697	763	822	715	916	625	717
ENSMUSG00000006095	1442	345	505	500	572	592	761	506	461
ENSMUSG00000006127	5728	865	1046	913	850	2333	2528	1673	1846
ENSMUSG00000006134	3863	1830	2079	2261	1568	2778	2982	2155	2377
ENSMUSG00000006143	1303	0	0	1	0	0	0	0	0
ENSMUSG00000006154	6036	32	237	155	198	304	485	311	436
ENSMUSG00000006169	6946	2163	2626	2497	2477	2592	2846	2073	2064
ENSMUSG00000006179	2444	3	1	0	3	0	0	0	2
ENSMUSG00000006191	12799	253	265	352	270	373	457	365	377
ENSMUSG00000006200	1010	0	0	0	0	0	0	0	0
ENSMUSG00000006204	3146	0	0	0	0	0	0	0	0
ENSMUSG00000006205	2879	38	0	49	34	0	0	0	0
ENSMUSG00000006215	3877	475	911	770	1075	1002	1357	831	683
ENSMUSG00000006216	2639	0	0	0	0	0	0	0	0
ENSMUSG00000006218	1433	0	1	0	0	0	0	0	0
ENSMUSG00000006219	4457	0	2	0	2	0	1	0	1
ENSMUSG00000006221	2769	0	0	0	0	0	0	0	0
ENSMUSG00000006235	1829	3	9	4	3	28	53	26	29
ENSMUSG00000006241	1545	0	2	0	0	0	1	2	0
ENSMUSG00000006262	15033	842	857	608	509	923	842	793	821
ENSMUSG00000006269	4381	0	0	0	0	0	0	0	0
ENSMUSG00000006270	1117	0	0	0	0	0	0	0	0
ENSMUSG00000006273	5305	1140	1337	1321	1156	1391	1704	1202	1273
ENSMUSG00000006276	3141	1227	1432	1507	1572	2184	2570	1746	1896
ENSMUSG00000006281	8168	369	405	397	476	764	818	525	623
ENSMUSG00000006288	1841	411	457	418	538	808	995	699	712
ENSMUSG00000006289	4933	691	859	862	798	660	774	488	539
ENSMUSG00000006299	3458	1820	2923	2838	3092	2302	2685	1726	1601
ENSMUSG00000006301	12659	94	79	154	99	65	66	49	46
ENSMUSG00000006304	2033	4213	4657	4620	4329	4830	5806	4230	4714
ENSMUSG00000006307	9596	2387	3653	3473	3628	5227	5814	3914	3707
ENSMUSG00000006310	2357	3	0	5	7	1	1	0	0
ENSMUSG00000006311	1048	0	0	2	2	0	0	0	0
ENSMUSG00000006313	1421	13	18	16	14	8	17	9	12
ENSMUSG00000006315	1112	454	643	581	772	450	563	369	401
ENSMUSG00000006333	2522	12408	21894	21387	21968	10059	12102	7784	7292
ENSMUSG00000006335	1201	207	331	281	314	304	402	246	257
ENSMUSG00000006342	3255	13	11	12	13	35	39	10	29
ENSMUSG00000006344	4736	8	6	9	9	60	89	56	51
ENSMUSG00000006345	3411	1	1	0	2	6	5	5	5
ENSMUSG00000006356	2099	74	158	141	172	113	131	95	72
ENSMUSG00000006360	2280	2904	4725	4423	5202	5521	5950	4376	4271
ENSMUSG00000006362	4775	915	1124	1023	1195	1811	1473	1130	1012
ENSMUSG00000006369	4368	35	61	67	83	76	88	47	69
ENSMUSG00000006373	1857	1075	1275	1183	1171	779	1035	778	745
ENSMUSG00000006378	3851	54	126	154	173	30	17	11	16
ENSMUSG00000006386	4712	0	0	0	0	0	0	0	0
ENSMUSG00000006389	2958	0	0	0	0	0	1	0	0
ENSMUSG00000006390	2726	491	613	647	647	753	797	543	553
ENSMUSG00000006392	3001	857	857	940	901	871	1122	737	860
ENSMUSG00000006395	2209	89	81	112	128	154	192	137	138
ENSMUSG00000006398	1868	1441	1886	2142	2695	2216	2590	1934	1948
ENSMUSG00000006403	4810	0	0	3	1	2	1	2	1
ENSMUSG00000006411	3746	0	3	7	3	3	0	0	1
ENSMUSG00000006412	1937	875	1059	1083	1135	695	845	556	577
ENSMUSG00000006418	3356	1251	1646	1627	1370	2606	2976	1992	1988
ENSMUSG00000006423	7424	658	657	596	563	860	1080	890	866
ENSMUSG00000006435	4411	3	3	4	2	4	3	1	3
ENSMUSG00000006442	1599	2211	3158	3419	4349	338	457	291	298
ENSMUSG00000006445	4674	12	60	28	19	30	24	20	14
ENSMUSG00000006456	3910	2056	2890	2901	3571	1974	2390	1643	1453
ENSMUSG00000006457	2894	11	9	18	7	9	10	6	8
ENSMUSG00000006462	5964	5	6	5	4	0	1	0	0
ENSMUSG00000006463	2916	100	118	93	111	192	240	154	200
ENSMUSG00000006464	5581	82	90	87	85	217	198	177	132
ENSMUSG00000006469	2358	0	0	0	0	0	0	0	0
ENSMUSG00000006471	5835	1405	1660	1705	1745	1687	1979	1326	1410
ENSMUSG00000006476	4896	129	161	176	205	308	372	255	204
ENSMUSG00000006488	924	0	0	0	0	0	0	0	0
ENSMUSG00000006490	926	0	0	0	0	0	0	0	0
ENSMUSG00000006494	7779	1544	1604	1609	1776	499	443	371	289
ENSMUSG00000006498	4740	10517	16226	15835	17939	11220	12580	8705	8535
ENSMUSG00000006517	1761	260	424	502	443	546	660	401	375
ENSMUSG00000006519	758	469	915	887	1110	1789	2136	1319	1101
ENSMUSG00000006522	3637	0	0	0	1	0	0	0	0
ENSMUSG00000006526	4058	188	295	266	266	252	341	237	229
ENSMUSG00000006527	8629	1218	1181	1064	942	1586	2236	1545	1713
ENSMUSG00000006529	3293	0	0	0	0	0	0	0	0
ENSMUSG00000006538	3048	3	4	3	2	1	3	2	3
ENSMUSG00000006542	3682	2	0	2	4	0	0	0	0
ENSMUSG00000006546	1193	0	0	0	0	0	0	0	0
ENSMUSG00000006567	6505	5	9	7	1	2	6	5	6
ENSMUSG00000006570	305	0	0	0	0	0	0	0	0
ENSMUSG00000006574	4891	0	0	0	0	0	0	0	0
ENSMUSG00000006575	2941	12	25	9	10	15	16	12	6
ENSMUSG00000006576	8599	0	0	0	0	0	0	0	0
ENSMUSG00000006585	2189	1452	2717	2637	3449	1356	1710	1027	904
ENSMUSG00000006586	7959	0	0	0	0	0	1	1	0
ENSMUSG00000006587	1589	204	194	178	331	2333	3054	1859	1708
ENSMUSG00000006589	866	619	1150	1093	1337	384	447	309	288
ENSMUSG00000006599	2984	1575	1581	1708	1514	1357	1706	1152	1288
ENSMUSG00000006611	3572	9	14	18	14	11	15	13	3
ENSMUSG00000006638	1758	12	14	8	15	97	130	83	83
ENSMUSG00000006641	3991	360	426	468	461	154	162	113	130
ENSMUSG00000006642	4116	0	0	0	0	0	0	0	0
ENSMUSG00000006649	6620	0	0	2	0	1	3	0	0
ENSMUSG00000006651	3017	1	9	3	7	7	12	9	4
ENSMUSG00000006673	7918	2548	3072	2905	2906	3509	3981	2946	3065
ENSMUSG00000006675	3890	72	109	106	139	43	40	41	25
ENSMUSG00000006676	7048	2949	4442	4188	4507	4934	5544	3859	3654
ENSMUSG00000006678	8813	4025	3544	3839	3372	2252	2885	2231	2462
ENSMUSG00000006699	2966	5071	5247	5366	4739	5579	6386	5094	5398
ENSMUSG00000006705	6892	1329	1763	1737	1532	1944	2261	1710	1713
ENSMUSG00000006711	5276	2	5	3	1	0	1	0	5
ENSMUSG00000006715	1465	1570	1427	1765	1535	951	1352	863	985
ENSMUSG00000006717	721	356	386	450	466	311	379	263	325
ENSMUSG00000006720	3513	169	136	191	131	114	147	91	148
ENSMUSG00000006724	2574	17	20	5	18	4	5	1	5
ENSMUSG00000006728	3249	7555	10051	10136	11151	4216	5004	3566	3765
ENSMUSG00000006731	2474	1015	1584	1309	1851	3202	3553	2443	2188
ENSMUSG00000006732	2907	545	638	700	851	153	176	116	156
ENSMUSG00000006736	1516	688	812	797	739	1258	1359	967	1134
ENSMUSG00000006740	7395	3280	3279	3425	2804	4198	4332	3335	3770
ENSMUSG00000006763	4699	618	680	787	738	566	660	499	537
ENSMUSG00000006764	2879	0	0	0	0	0	1	1	0
ENSMUSG00000006777	1565	0	0	1	0	0	0	0	0
ENSMUSG00000006782	3639	1731	2323	2176	2512	3626	4170	2881	2519
ENSMUSG00000006784	6147	4	0	2	1	4	3	1	1
ENSMUSG00000006800	5818	0	3	2	4	4	4	0	0
ENSMUSG00000006818	3824	1233	1495	1363	1364	575	674	484	531
ENSMUSG00000006850	1817	179	243	282	299	280	347	243	273
ENSMUSG00000006906	10426	402	393	392	385	593	749	559	682
ENSMUSG00000006920	7440	534	616	562	529	1071	1231	826	900
ENSMUSG00000006930	3766	0	3	6	5	0	0	1	0
ENSMUSG00000006931	2178	1	2	2	2	4	9	7	9
ENSMUSG00000006932	5099	7849	8317	8189	7929	7023	7510	5694	6084
ENSMUSG00000006941	917	804	961	870	820	1319	1477	1097	1166
ENSMUSG00000006948	1249	0	0	0	0	0	0	0	0
ENSMUSG00000006958	5838	0	1	0	1	0	0	0	0
ENSMUSG00000006998	4038	4546	5275	5698	5515	3785	4426	3309	3170
ENSMUSG00000007021	2071	0	6	3	6	1	3	2	0
ENSMUSG00000007029	5608	5836	9056	9056	11366	4193	5113	3399	3111
ENSMUSG00000007030	4313	13	20	16	13	4	8	4	7
ENSMUSG00000007033	2472	129	461	1149	609	41	174	38	4
ENSMUSG00000007034	3112	0	1	0	0	0	0	0	0
ENSMUSG00000007035	5526	83	127	104	182	292	374	242	246
ENSMUSG00000007036	3220	337	581	486	708	882	1098	626	585
ENSMUSG00000007038	3733	963	1117	1076	1188	783	824	577	610
ENSMUSG00000007039	1593	94	218	208	256	653	802	536	409
ENSMUSG00000007041	1799	3540	4750	4914	4828	8156	10184	7278	7219
ENSMUSG00000007050	3152	931	1091	1142	1134	634	756	536	580
ENSMUSG00000007080	11160	4431	4042	4916	4917	3586	4196	2939	3493
ENSMUSG00000007097	7038	0	1	0	0	0	1	0	0
ENSMUSG00000007107	3667	0	0	0	0	0	0	0	0
ENSMUSG00000007122	1951	0	0	0	0	2	0	0	2
ENSMUSG00000007207	2666	2	8	18	10	7	9	7	5
ENSMUSG00000007209	1411	0	0	0	0	0	0	0	0
ENSMUSG00000007216	4244	94	162	134	220	233	278	239	176
ENSMUSG00000007279	4153	0	0	0	0	0	0	0	0
ENSMUSG00000007338	1722	948	1065	1170	1045	1064	1297	887	1083
ENSMUSG00000007379	6858	25	29	21	21	52	72	41	56
ENSMUSG00000007411	3388	1407	1611	1712	1517	2009	2666	1820	1836
ENSMUSG00000007415	4168	928	987	893	878	1010	1091	897	910
ENSMUSG00000007440	5359	0	0	0	0	0	0	0	1
ENSMUSG00000007457	1603	0	0	0	0	0	0	0	0
ENSMUSG00000007458	4170	2557	2643	2597	2374	2507	3068	2151	2330
ENSMUSG00000007476	4308	210	421	346	380	499	502	351	316
ENSMUSG00000007480	1162	4	2	3	0	0	2	0	0
ENSMUSG00000007564	3375	3566	4454	4687	4660	4486	5100	3523	3703
ENSMUSG00000007570	3183	185	342	343	438	395	421	297	258
ENSMUSG00000007589	1736	577	571	645	868	1205	1613	1143	1235
ENSMUSG00000007591	1688	24	33	25	30	75	71	57	76
ENSMUSG00000007594	3576	1	2	1	1	2	4	0	0
ENSMUSG00000007603	2303	517	927	880	1413	741	841	578	511
ENSMUSG00000007610	3984	262	437	355	520	403	565	407	334
ENSMUSG00000007613	6534	1869	1977	1532	1166	2039	2007	1672	2115
ENSMUSG00000007617	10502	191	203	160	146	180	205	178	130
ENSMUSG00000007646	4384	233	194	220	216	315	441	355	381
ENSMUSG00000007653	6360	0	0	0	0	0	0	0	0
ENSMUSG00000007655	3444	0	1	0	0	0	0	0	0
ENSMUSG00000007656	4957	1850	1950	1924	1724	1508	1696	1381	1487
ENSMUSG00000007659	4586	505	602	556	612	2540	3904	2258	1941
ENSMUSG00000007670	3990	4172	6644	6439	6908	4407	4679	3306	3184
ENSMUSG00000007682	5813	101	101	93	93	196	192	175	215
ENSMUSG00000007721	911	285	772	791	1228	508	621	368	246
ENSMUSG00000007739	4201	7300	7961	8405	7967	3442	4168	3268	3456
ENSMUSG00000007777	998	173	180	170	148	171	148	151	136
ENSMUSG00000007783	2793	5	11	3	11	5	2	2	2
ENSMUSG00000007805	3174	0	0	0	0	0	0	0	0
ENSMUSG00000007812	5598	740	739	810	633	890	1119	815	850
ENSMUSG00000007815	7494	4166	4510	4581	4528	6247	7772	6022	5863
ENSMUSG00000007817	12523	3056	4374	4407	4859	4749	5061	3642	3718
ENSMUSG00000007827	7253	1350	1236	1119	1121	1116	1292	932	1131
ENSMUSG00000007833	2565	360	803	795	1168	653	837	566	400
ENSMUSG00000007836	2678	3132	4208	3242	4836	3027	3585	2804	2409
ENSMUSG00000007837	1295	15	26	23	31	50	73	30	26
ENSMUSG00000007850	5842	14950	15641	14752	14597	14402	16482	13833	14069
ENSMUSG00000007867	775	2	0	1	4	2	0	1	0
ENSMUSG00000007872	1791	239	441	416	637	694	764	557	318
ENSMUSG00000007877	948	2	4	1	2	3	6	1	0
ENSMUSG00000007880	11476	8366	11256	11354	10006	16783	17514	12039	12694
ENSMUSG00000007888	1644	0	5	1	5	2	1	0	1
ENSMUSG00000007891	2519	2451	3702	3060	3029	5650	6431	4346	4263
ENSMUSG00000007892	495	3309	10807	9305	14443	2908	3321	1952	1481
ENSMUSG00000007907	1505	0	0	0	0	0	0	0	0
ENSMUSG00000007908	5449	0	0	2	0	0	0	0	0
ENSMUSG00000007944	2052	0	0	0	0	0	0	0	0
ENSMUSG00000007946	1609	0	0	0	0	0	0	0	0
ENSMUSG00000007950	1985	390	1143	993	1564	1400	1639	914	665
ENSMUSG00000007987	3608	133	209	202	202	215	244	155	136
ENSMUSG00000007989	4227	7	4	8	4	5	9	2	5
ENSMUSG00000008028	3675	3	4	6	5	0	0	2	6
ENSMUSG00000008035	2128	275	332	329	419	299	262	191	195
ENSMUSG00000008036	1472	748	1316	1224	1518	1215	1601	975	875
ENSMUSG00000008090	2782	108	150	120	192	172	190	147	120
ENSMUSG00000008129	2406	37	30	30	86	76	112	69	74
ENSMUSG00000008136	1897	10	12	23	24	39	34	30	29
ENSMUSG00000008140	2917	870	1412	1346	1902	1293	1663	1046	906
ENSMUSG00000008153	4968	12	24	28	27	16	9	14	15
ENSMUSG00000008167	3383	82	151	157	158	105	162	93	80
ENSMUSG00000008193	2868	81	260	91	84	24	16	13	37
ENSMUSG00000008200	6583	4374	4917	4931	4084	5530	5916	4437	4893
ENSMUSG00000008206	12264	3	16	20	13	4	3	2	6
ENSMUSG00000008226	4815	156	160	163	163	125	137	128	119
ENSMUSG00000008301	2223	953	1090	1204	952	757	936	647	686
ENSMUSG00000008305	8711	210	265	242	198	144	152	147	133
ENSMUSG00000008307	3062	129	152	144	126	201	208	160	153
ENSMUSG00000008318	3280	180	311	249	347	348	479	268	290
ENSMUSG00000008333	2857	1741	1742	1561	1476	1120	1353	1073	1126
ENSMUSG00000008348	2893	12505	17345	20645	20450	14436	21957	13102	10490
ENSMUSG00000008373	5439	2056	2579	2725	2979	1354	1600	1170	1265
ENSMUSG00000008384	1344	165	307	235	399	308	422	263	163
ENSMUSG00000008393	2849	383	482	507	426	810	942	722	795
ENSMUSG00000008398	4550	287	442	302	389	1313	1598	980	1058
ENSMUSG00000008429	2744	531	641	516	465	793	845	602	610
ENSMUSG00000008435	6595	317	364	351	419	244	257	124	203
ENSMUSG00000008438	2911	1	7	0	3	1	3	3	1
ENSMUSG00000008450	1966	1372	1831	1703	1529	752	884	734	707
ENSMUSG00000008461	2580	0	1	1	0	0	1	0	0
ENSMUSG00000008475	2276	1960	2389	1919	2019	2887	3205	2494	2777
ENSMUSG00000008482	1189	4	9	1	2	1	2	1	0
ENSMUSG00000008489	8313	0	0	2	0	0	0	0	0
ENSMUSG00000008496	8231	12	17	11	26	12	7	5	4
ENSMUSG00000008540	2013	0	0	0	0	2	0	0	2
ENSMUSG00000008575	14957	0	1	0	0	2	0	1	0
ENSMUSG00000008590	2411	0	0	0	0	0	0	0	0
ENSMUSG00000008601	1673	2	9	9	13	8	11	7	6
ENSMUSG00000008604	4147	2312	3012	3035	3113	1777	2061	1459	1465
ENSMUSG00000008658	4151	0	0	0	0	0	0	0	0
ENSMUSG00000008668	2491	3878	5173	5380	5130	1619	2015	1332	1426
ENSMUSG00000008682	2053	11529	14320	14801	13578	6272	7060	4952	5606
ENSMUSG00000008683	6270	4178	4444	4547	4149	2219	2825	1898	2094
ENSMUSG00000008690	4198	3081	4476	4405	4360	4310	5385	3696	3503
ENSMUSG00000008730	10914	5862	6248	6072	5089	8378	8846	6622	7115
ENSMUSG00000008734	4630	81	104	95	79	314	318	230	255
ENSMUSG00000008763	7969	2078	1876	1796	1522	1798	1769	1418	1749
ENSMUSG00000008789	3273	0	0	0	0	0	0	0	0
ENSMUSG00000008813	741	0	0	1	0	0	0	0	0
ENSMUSG00000008822	1380	146	265	239	274	364	389	265	277
ENSMUSG00000008843	1067	0	0	0	0	0	0	0	0
ENSMUSG00000008845	5461	2	10	5	2	7	3	5	14
ENSMUSG00000008855	8780	243	415	409	540	259	314	157	166
ENSMUSG00000008859	2684	653	695	611	583	870	1069	897	908
ENSMUSG00000008874	591	0	0	0	0	0	0	0	0
ENSMUSG00000008892	1423	953	921	1056	839	721	856	652	693
ENSMUSG00000008932	3360	0	0	0	0	0	0	0	0
ENSMUSG00000008958	3639	622	1034	966	1136	1018	1253	862	716
ENSMUSG00000008976	5687	2169	2171	2031	1819	2317	2529	2019	2229
ENSMUSG00000008999	4019	591	874	807	928	189	264	191	226
ENSMUSG00000009013	3890	1705	2328	1834	2229	1239	1649	1324	1126
ENSMUSG00000009030	3751	533	623	498	522	973	1085	967	972
ENSMUSG00000009035	3434	483	854	741	785	1006	1158	739	675
ENSMUSG00000009047	588	0	0	0	0	0	0	0	0
ENSMUSG00000009070	3012	0	0	0	0	0	0	0	0
ENSMUSG00000009073	6825	2434	2676	2699	2851	1895	2191	1501	1708
ENSMUSG00000009075	2628	0	1	0	1	0	1	1	0
ENSMUSG00000009076	1248	228	376	316	427	357	475	291	279
ENSMUSG00000009079	5907	7112	8872	10223	10604	9644	11411	7605	8629
ENSMUSG00000009090	4957	1520	2075	2088	2306	2471	2834	1995	1894
ENSMUSG00000009092	1336	5	1	4	6	5	6	8	6
ENSMUSG00000009093	989	0	1	1	1	1	1	4	0
ENSMUSG00000009097	1777	0	0	0	0	0	0	0	0
ENSMUSG00000009108	2995	17	14	22	23	0	0	4	0
ENSMUSG00000009112	9089	1563	1876	1792	1807	1642	1911	1372	1403
ENSMUSG00000009114	1705	0	0	0	0	0	0	0	0
ENSMUSG00000009115	1332	0	1	4	1	2	2	3	1
ENSMUSG00000009145	3419	109	141	146	146	177	181	135	158
ENSMUSG00000009185	511	0	0	0	0	0	1	0	1
ENSMUSG00000009207	9154	440	382	325	338	610	642	617	703
ENSMUSG00000009210	1724	0	5	1	1	16	56	17	34
ENSMUSG00000009214	1511	0	3	0	0	5	7	1	2
ENSMUSG00000009216	2959	710	907	674	574	1807	1955	1620	1236
ENSMUSG00000009246	6398	0	0	0	0	0	0	0	0
ENSMUSG00000009248	1623	0	1	0	0	0	0	0	0
ENSMUSG00000009281	2656	0	0	1	0	0	1	0	0
ENSMUSG00000009291	3426	683	956	792	854	1090	1309	833	807
ENSMUSG00000009292	12323	1	0	3	1	0	0	0	2
ENSMUSG00000009293	2431	880	1183	1203	1128	755	940	635	590
ENSMUSG00000009350	3424	0	0	2	0	1	2	0	0
ENSMUSG00000009356	3135	0	0	0	0	0	0	1	0
ENSMUSG00000009376	7679	0	2	0	0	0	0	0	0
ENSMUSG00000009378	4051	0	0	0	0	0	0	0	0
ENSMUSG00000009394	7031	1	0	1	0	0	1	0	0
ENSMUSG00000009406	5381	255	331	310	318	492	541	344	388
ENSMUSG00000009418	17303	4	22	10	22	1	4	2	3
ENSMUSG00000009470	8579	5618	5618	5161	4230	4199	4157	3663	4148
ENSMUSG00000009471	1854	0	0	0	0	0	0	0	0
ENSMUSG00000009487	10043	0	0	0	0	0	0	0	0
ENSMUSG00000009535	7339	1280	1194	1305	1224	938	1153	769	915
ENSMUSG00000009545	4093	0	0	0	0	0	1	0	0
ENSMUSG00000009549	1195	969	1155	1091	1193	1335	1539	1059	1153
ENSMUSG00000009551	1431	0	0	0	0	0	0	0	0
ENSMUSG00000009555	4611	1584	2096	1932	2078	1849	2133	1448	1390
ENSMUSG00000009563	3050	526	794	737	873	1014	1218	741	652
ENSMUSG00000009566	3802	669	1002	1041	1444	367	457	308	252
ENSMUSG00000009569	8990	397	416	497	444	833	901	600	724
ENSMUSG00000009575	9006	10616	9448	8799	7134	9118	10218	8222	9952
ENSMUSG00000009580	1376	0	0	0	0	0	0	0	0
ENSMUSG00000009585	6083	3579	3844	3866	3596	4770	4949	4069	3601
ENSMUSG00000009588	2392	0	0	0	1	0	0	0	0
ENSMUSG00000009596	2245	0	0	0	0	0	0	0	0
ENSMUSG00000009614	5432	5	8	6	13	5	3	1	6
ENSMUSG00000009621	6915	460	618	648	604	774	890	601	755
ENSMUSG00000009628	9622	76	56	52	35	106	107	102	162
ENSMUSG00000009630	1826	1755	1852	1897	1876	2516	2519	2104	2253
ENSMUSG00000009633	871	5	7	1	8	12	17	15	4
ENSMUSG00000009640	2636	426	575	653	671	668	869	649	600
ENSMUSG00000009646	1182	0	0	0	0	0	0	0	0
ENSMUSG00000009647	6936	278	283	335	338	586	803	531	509
ENSMUSG00000009654	2788	0	0	2	0	0	0	2	0
ENSMUSG00000009670	3624	0	0	0	0	0	26	0	0
ENSMUSG00000009681	6537	1027	1577	1477	1398	1548	1677	1093	1125
ENSMUSG00000009687	4192	1082	1488	1103	1347	1408	1612	1122	1224
ENSMUSG00000009731	5287	19	32	37	17	12	26	13	15
ENSMUSG00000009733	3250	192	179	188	265	218	345	221	243
ENSMUSG00000009734	6554	0	0	0	0	0	0	0	0
ENSMUSG00000009739	6896	701	826	753	838	3898	4576	2875	2661
ENSMUSG00000009741	3850	2409	2710	2745	2295	3256	3828	2687	2845
ENSMUSG00000009772	3920	43	66	58	49	64	81	59	66
ENSMUSG00000009828	11524	395	543	533	541	602	751	512	594
ENSMUSG00000009863	2239	2141	3107	3265	3624	1778	2194	1616	1495
ENSMUSG00000009876	788	5	4	7	2	7	11	7	5
ENSMUSG00000009894	2651	299	334	373	442	439	565	341	353
ENSMUSG00000009900	2761	0	0	0	0	0	0	0	0
ENSMUSG00000009905	8147	402	367	306	301	487	602	413	461
ENSMUSG00000009907	8905	1839	1783	1634	1406	2234	2476	1907	2286
ENSMUSG00000009927	683	7785	8019	8283	7402	2509	3007	2154	2434
ENSMUSG00000009941	2568	13	10	8	11	5	13	8	6
ENSMUSG00000009995	5364	443	473	464	528	842	1077	746	788
ENSMUSG00000010021	4068	0	0	0	0	0	0	0	0
ENSMUSG00000010025	5619	417	414	383	386	798	962	747	727
ENSMUSG00000010044	2129	5	21	13	24	34	29	26	16
ENSMUSG00000010045	2194	242	467	409	433	378	385	277	241
ENSMUSG00000010047	3293	99	193	213	221	161	154	112	104
ENSMUSG00000010048	2637	867	1373	1216	1863	285	386	245	245
ENSMUSG00000010051	3777	31	47	57	63	100	91	66	81
ENSMUSG00000010054	1785	306	411	411	393	475	552	434	444
ENSMUSG00000010057	2013	378	471	431	447	809	910	730	635
ENSMUSG00000010064	5277	0	1	3	2	1	0	0	0
ENSMUSG00000010066	7947	46	59	43	66	76	84	65	79
ENSMUSG00000010067	5845	853	990	887	952	1144	1428	883	937
ENSMUSG00000010080	4067	0	0	0	1	0	0	0	0
ENSMUSG00000010086	3923	0	0	0	0	0	0	0	0
ENSMUSG00000010095	3529	2348	3258	3269	3690	1235	1505	986	957
ENSMUSG00000010097	5980	6159	7113	6849	6450	7303	9223	6579	6607
ENSMUSG00000010110	5808	1116	1411	1256	1232	2295	2605	1704	1904
ENSMUSG00000010122	3383	0	0	0	0	0	0	0	0
ENSMUSG00000010136	1127	1	0	0	1	0	0	0	0
ENSMUSG00000010142	2836	305	310	257	307	753	972	623	724
ENSMUSG00000010154	2330	49	51	54	42	38	32	34	32
ENSMUSG00000010175	8390	1	1	2	2	0	1	1	0
ENSMUSG00000010205	3440	4080	6968	6686	8631	5992	6782	4374	3943
ENSMUSG00000010277	8798	7620	8257	8491	8298	7680	9335	6354	6758
ENSMUSG00000010290	3458	559	557	456	379	550	616	469	541
ENSMUSG00000010307	1830	25	44	28	53	56	74	48	42
ENSMUSG00000010311	2575	0	0	1	0	0	0	0	0
ENSMUSG00000010342	5014	8	7	11	15	7	10	3	11
ENSMUSG00000010358	1727	225	316	304	293	637	798	579	434
ENSMUSG00000010362	1575	218	306	269	346	484	610	445	436
ENSMUSG00000010376	604	1697	1908	2069	1943	1439	1667	1177	1269
ENSMUSG00000010392	4289	733	789	760	714	1710	1826	1438	1365
ENSMUSG00000010406	1109	339	502	513	608	389	447	310	340
ENSMUSG00000010435	761	0	0	0	0	0	0	0	0
ENSMUSG00000010453	6742	1983	2355	2507	2195	2966	3508	2525	2500
ENSMUSG00000010461	4192	0	0	0	0	2	0	0	0
ENSMUSG00000010476	5021	0	0	0	0	1	1	0	0
ENSMUSG00000010492	2522	0	2	5	3	1	3	0	1
ENSMUSG00000010505	6905	0	0	0	0	0	0	0	0
ENSMUSG00000010517	5093	1588	1632	1621	1603	1609	2251	1610	1559
ENSMUSG00000010529	1213	0	0	0	0	1	4	1	2
ENSMUSG00000010538	1112	36	58	39	66	23	33	22	35
ENSMUSG00000010554	13817	1626	1712	1867	1599	881	1065	843	856
ENSMUSG00000010592	2942	4	3	3	1	4	2	4	8
ENSMUSG00000010601	3027	0	0	0	0	5	3	2	2
ENSMUSG00000010607	777	47	131	135	207	204	213	149	125
ENSMUSG00000010608	17376	6267	5793	6639	5356	5582	6588	4787	5424
ENSMUSG00000010609	4332	94	128	122	177	127	152	88	69
ENSMUSG00000010651	1962	22	46	63	58	80	110	53	52
ENSMUSG00000010660	2651	0	1	2	0	0	0	0	0
ENSMUSG00000010663	3456	1515	1551	1734	1535	1471	1726	1253	1290
ENSMUSG00000010721	5850	44	54	41	47	50	58	17	56
ENSMUSG00000010751	4217	34	75	26	41	34	37	31	50
ENSMUSG00000010755	6583	1190	1227	1338	1404	742	970	706	711
ENSMUSG00000010760	1121	0	1	0	5	0	1	0	0
ENSMUSG00000010796	2829	0	0	0	0	0	0	0	0
ENSMUSG00000010797	2255	0	0	0	0	0	0	0	0
ENSMUSG00000010803	7326	0	0	0	0	0	0	0	0
ENSMUSG00000010825	6773	0	0	0	0	0	0	0	0
ENSMUSG00000010830	1414	1	1	1	1	0	0	0	0
ENSMUSG00000010841	798	0	0	0	0	0	0	0	0
ENSMUSG00000010911	1000	191	206	283	240	221	292	235	207
ENSMUSG00000010914	3930	477	551	536	528	445	556	447	404
ENSMUSG00000010936	3028	1040	1389	1444	1583	1119	1386	853	824
ENSMUSG00000011008	3288	448	322	334	538	638	562	461	563
ENSMUSG00000011034	4104	0	0	0	0	0	0	0	0
ENSMUSG00000011052	421	0	0	0	0	0	0	1	0
ENSMUSG00000011096	3072	224	444	378	563	170	251	163	120
ENSMUSG00000011114	3482	1677	1827	1931	2096	2004	2350	1614	1821
ENSMUSG00000011118	2659	0	0	0	0	0	0	0	0
ENSMUSG00000011148	1861	184	292	273	309	268	240	167	145
ENSMUSG00000011154	3188	0	0	0	0	0	0	2	0
ENSMUSG00000011158	2755	1116	1483	1457	1455	2478	3011	1880	1928
ENSMUSG00000011171	4463	19	23	14	18	19	14	8	10
ENSMUSG00000011179	2547	2647	3244	3373	3587	677	862	604	592
ENSMUSG00000011254	3015	559	515	620	594	188	214	164	176
ENSMUSG00000011256	7115	2	2	1	3	47	20	10	165
ENSMUSG00000011257	4027	1406	1898	2183	2082	498	677	516	510
ENSMUSG00000011263	4016	0	0	0	0	0	0	0	0
ENSMUSG00000011267	2037	18	43	39	43	3	3	0	3
